epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.50597,1.65804,1.89965,1.26333,0.93152,0.7006,0.7623,0.42257,1.46778,0.92251,1.20231,0.000367141,0.000367141,0.000367141
2,14.4006,1.42721,0.94109,1.14597,0.94331,0.7368,0.79025,0.46012,1.3579,0.81055,1.13741,0.000713137,0.000713137,0.000713137
3,21.2607,1.38633,0.85485,1.13223,0.78986,0.79188,0.83485,0.4788,1.36737,0.85088,1.16208,0.00103469,0.00103469,0.00103469
4,28.0729,1.34873,0.78972,1.12359,0.77403,0.88268,0.80326,0.47998,1.3279,0.67415,1.12164,0.00100101,0.00100101,0.00100101
5,34.8617,1.33564,0.76202,1.10531,0.87276,0.9069,0.92382,0.54561,1.28799,0.64759,1.11238,0.000964348,0.000964348,0.000964348
6,41.6833,1.27677,0.70467,1.07779,0.89428,0.91982,0.90451,0.55471,1.27135,0.6181,1.11249,0.000927685,0.000927685,0.000927685
7,48.4962,1.25796,0.67344,1.06845,0.84417,0.85726,0.85418,0.54545,1.2304,0.56885,1.0823,0.000891022,0.000891022,0.000891022
8,55.2784,1.2505,0.65389,1.07292,0.94981,0.91888,0.94751,0.61187,1.19813,0.55105,1.07205,0.000854359,0.000854359,0.000854359
9,62.0949,1.20632,0.62494,1.04664,0.88036,0.90714,0.92015,0.58045,1.31147,0.56791,1.08559,0.000817696,0.000817696,0.000817696
10,68.8784,1.18248,0.60206,1.04238,0.91259,0.94331,0.94087,0.62716,1.16264,0.49501,1.03661,0.000781033,0.000781033,0.000781033
11,75.6969,1.16181,0.57533,1.03201,0.96681,0.91611,0.9514,0.63114,1.17357,0.50438,1.03766,0.00074437,0.00074437,0.00074437
12,82.5296,1.16084,0.57929,1.03604,0.93653,0.92669,0.92987,0.64693,1.07071,0.4604,1.00643,0.000707707,0.000707707,0.000707707
13,89.3536,1.12673,0.55724,1.02106,0.96855,0.97177,0.97303,0.65944,1.11486,0.48617,1.02643,0.000671044,0.000671044,0.000671044
14,96.1889,1.11537,0.54293,1.01941,0.96078,0.90605,0.94037,0.65803,1.06925,0.43874,0.98787,0.000634381,0.000634381,0.000634381
15,102.98,1.09546,0.52613,1.00599,0.94317,0.92771,0.94095,0.6871,1.0161,0.43931,0.97662,0.000597718,0.000597718,0.000597718
16,109.819,1.07041,0.51264,0.9949,0.99282,0.96141,0.97053,0.69108,1.03443,0.43487,0.97964,0.000561055,0.000561055,0.000561055
17,116.635,1.05386,0.50396,0.99465,0.98622,0.96178,0.97361,0.69967,1.02761,0.41523,0.97386,0.000524392,0.000524392,0.000524392
18,123.478,1.04703,0.49701,0.99232,0.9336,0.95924,0.95695,0.70395,0.96122,0.40765,0.9557,0.000487729,0.000487729,0.000487729
19,130.301,1.02013,0.48731,0.98217,0.97121,0.92318,0.95588,0.70573,0.95997,0.40172,0.94997,0.000451066,0.000451066,0.000451066
20,137.155,1.00718,0.47579,0.97645,0.95774,0.94015,0.96359,0.71377,0.99207,0.39843,0.95756,0.000414403,0.000414403,0.000414403
21,144.169,0.99551,0.42384,0.97935,0.94503,0.96138,0.97278,0.72858,0.93175,0.3914,0.94348,0.00037774,0.00037774,0.00037774
22,150.981,0.97816,0.41946,0.97312,0.96086,0.95552,0.97502,0.74575,0.93375,0.39292,0.94161,0.000341077,0.000341077,0.000341077
23,157.798,0.94674,0.40556,0.95787,0.95771,0.95977,0.97143,0.72959,0.94892,0.38914,0.95017,0.000304414,0.000304414,0.000304414
24,164.563,0.93535,0.39954,0.96044,0.9411,0.95996,0.97648,0.75343,0.88022,0.36869,0.92492,0.000267751,0.000267751,0.000267751
25,171.369,0.89852,0.38648,0.93835,0.97577,0.97966,0.97597,0.75675,0.87958,0.362,0.91814,0.000231088,0.000231088,0.000231088
26,178.175,0.88907,0.37644,0.9355,0.97727,0.96024,0.97231,0.77023,0.86029,0.35487,0.91315,0.000194425,0.000194425,0.000194425
27,184.981,0.87137,0.36837,0.93888,0.99438,0.96216,0.98152,0.77244,0.83734,0.34425,0.90531,0.000157762,0.000157762,0.000157762
28,191.798,0.84819,0.36371,0.92431,0.99646,0.95313,0.97334,0.78356,0.80962,0.33819,0.89541,0.000121099,0.000121099,0.000121099
29,198.602,0.8318,0.35598,0.91731,0.98917,0.96135,0.97461,0.78134,0.80567,0.33393,0.89466,8.4436e-05,8.4436e-05,8.4436e-05
30,205.381,0.81684,0.34726,0.91588,0.975,0.96311,0.97529,0.79029,0.80251,0.33154,0.89234,4.7773e-05,4.7773e-05,4.7773e-05
