epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.58442,1.64366,1.89944,1.28063,0.76036,0.79561,0.81063,0.44029,1.4108,0.93914,1.21498,0.000367141,0.000367141,0.000367141
2,14.4825,1.41344,0.92226,1.16527,0.92035,0.71361,0.80424,0.44705,1.44747,0.87233,1.27542,0.000730173,0.000730173,0.000730173
3,21.3473,1.35848,0.83468,1.15451,0.88636,0.7911,0.83475,0.46889,1.45054,0.71386,1.24336,0.00108587,0.00108587,0.00108587
4,28.1702,1.3386,0.76397,1.15033,0.81069,0.82129,0.82984,0.44155,1.4939,0.72296,1.27388,0.001078,0.001078,0.001078
5,34.9641,1.31707,0.74339,1.13805,0.8168,0.77437,0.81743,0.46862,1.37094,0.73809,1.20405,0.001067,0.001067,0.001067
6,41.8294,1.29976,0.70069,1.13008,0.8549,0.88329,0.87715,0.53758,1.27521,0.61943,1.13484,0.00105601,0.00105601,0.00105601
7,48.644,1.25934,0.66426,1.10402,0.8599,0.81434,0.83696,0.52838,1.18806,0.59051,1.1107,0.00104501,0.00104501,0.00104501
8,55.4345,1.2194,0.64209,1.08556,0.84807,0.88203,0.90576,0.57874,1.21756,0.57685,1.11719,0.00103401,0.00103401,0.00103401
9,62.2359,1.22512,0.63292,1.08994,0.96375,0.81241,0.84939,0.53995,1.26952,0.57316,1.14321,0.00102301,0.00102301,0.00102301
10,69.0263,1.20655,0.63166,1.08223,0.90841,0.89103,0.90485,0.58542,1.22146,0.51106,1.10286,0.00101201,0.00101201,0.00101201
11,75.8536,1.19882,0.60861,1.0868,0.98664,0.84249,0.89013,0.58623,1.12785,0.51433,1.06623,0.00100101,0.00100101,0.00100101
12,82.6325,1.16366,0.59087,1.06937,0.86757,0.89078,0.86824,0.58773,1.10146,0.48572,1.06159,0.000990012,0.000990012,0.000990012
13,89.4131,1.17559,0.59407,1.07533,0.94105,0.87123,0.91626,0.6125,1.14608,0.50756,1.06279,0.000979013,0.000979013,0.000979013
14,96.2815,1.14912,0.57394,1.05813,0.88752,0.89333,0.90655,0.62399,1.0899,0.48514,1.0451,0.000968014,0.000968014,0.000968014
15,103.089,1.15683,0.57582,1.0743,0.93319,0.85002,0.87863,0.58244,1.17476,0.49427,1.09505,0.000957015,0.000957015,0.000957015
16,109.855,1.12701,0.55061,1.0543,0.98338,0.91023,0.94059,0.65567,1.06146,0.46068,1.03516,0.000946016,0.000946016,0.000946016
17,116.663,1.11673,0.54266,1.04941,0.8991,0.92613,0.91473,0.63544,1.09167,0.45214,1.04996,0.000935018,0.000935018,0.000935018
18,123.446,1.10885,0.54138,1.04367,0.92665,0.97864,0.95898,0.66857,1.09312,0.44517,1.03419,0.000924019,0.000924019,0.000924019
19,130.26,1.08955,0.52654,1.04191,0.98254,0.94946,0.9749,0.70116,1.02544,0.43924,1.0093,0.00091302,0.00091302,0.00091302
20,137.08,1.08787,0.53361,1.03144,0.90962,0.9414,0.92858,0.65301,1.05647,0.44003,1.029,0.000902021,0.000902021,0.000902021
21,143.858,1.07221,0.51474,1.02977,0.9662,0.92787,0.95453,0.68627,1.00286,0.42731,1.00425,0.000891022,0.000891022,0.000891022
22,150.639,1.06362,0.50658,1.02674,0.9612,0.97737,0.97052,0.70211,1.02616,0.42185,1.00616,0.000880023,0.000880023,0.000880023
23,157.532,1.04184,0.49922,1.02394,0.89168,0.87923,0.8823,0.63201,0.99044,0.41869,0.99781,0.000869024,0.000869024,0.000869024
24,164.309,1.0404,0.5011,1.01374,0.9933,0.95683,0.97581,0.72158,0.95669,0.40826,0.98058,0.000858025,0.000858025,0.000858025
25,171.126,1.02407,0.48807,1.0097,0.9824,0.94263,0.98048,0.71042,0.95515,0.39937,0.97901,0.000847026,0.000847026,0.000847026
26,177.922,1.0183,0.49012,1.01379,0.97449,0.93778,0.96377,0.72217,0.93833,0.40331,0.97941,0.000836027,0.000836027,0.000836027
27,184.689,1.00586,0.4818,0.99989,0.96566,0.90929,0.94924,0.6759,1.04822,0.42043,1.00591,0.000825029,0.000825029,0.000825029
28,191.468,0.99993,0.47304,1.00415,0.91482,0.96272,0.95488,0.69407,0.98183,0.39894,0.98704,0.00081403,0.00081403,0.00081403
29,198.254,1.00535,0.47822,1.00347,0.96093,0.97813,0.97554,0.71691,0.99034,0.40545,0.98522,0.000803031,0.000803031,0.000803031
30,205.046,1.00508,0.47318,1.00909,0.98778,0.93851,0.96903,0.711,0.97912,0.41433,0.98488,0.000792032,0.000792032,0.000792032
